ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
746;1100;10000;2008W145;2504
747;1100;10000;2008W146;2517
748;1100;10000;2008W147;2507
749;1100;10000;2008W148;2622
750;1100;10000;2008W149;2693
751;1100;10000;2008W150;2781
752;1100;10000;2008W151;2812
753;1100;10000;2008W152;2815
754;1100;10000;2008W153;1266
756;1100;10000;2009W101;1828
757;1100;10000;2009W102;3215
758;1100;10000;2009W103;3408
759;1100;10000;2009W104;3218
760;1100;10000;2009W105;3161
761;1100;10000;2009W106;3165
762;1100;10000;2009W107;2877
763;1100;10000;2009W108;2854
764;1100;10000;2009W109;2713
765;1100;10000;2009W110;2599
766;1100;10000;2009W111;2621
767;1100;10000;2009W112;2619
768;1100;10000;2009W113;2575
769;1100;10000;2009W114;2639
770;1100;10000;2009W115;2621
771;1100;10000;2009W116;2617
772;1100;10000;2009W117;2429
773;1100;10000;2009W118;2369
774;1100;10000;2009W119;2371
775;1100;10000;2009W120;2450
776;1100;10000;2009W121;2421
777;1100;10000;2009W122;2434
778;1100;10000;2009W123;2391
779;1100;10000;2009W124;2446
780;1100;10000;2009W125;2372
781;1100;10000;2009W126;2331
782;1100;10000;2009W127;2494
783;1100;10000;2009W128;2378
784;1100;10000;2009W129;2437
785;1100;10000;2009W130;2302
786;1100;10000;2009W131;2356
787;1100;10000;2009W132;2348
788;1100;10000;2009W133;2247
789;1100;10000;2009W134;2346
790;1100;10000;2009W135;2303
791;1100;10000;2009W136;2300
792;1100;10000;2009W137;2426
793;1100;10000;2009W138;2390
794;1100;10000;2009W139;2404
795;1100;10000;2009W140;2393
796;1100;10000;2009W141;2541
797;1100;10000;2009W142;2478
798;1100;10000;2009W143;2602
799;1100;10000;2009W144;2565
800;1100;10000;2009W145;2532
801;1100;10000;2009W146;2568
802;1100;10000;2009W147;2497
803;1100;10000;2009W148;2436
804;1100;10000;2009W149;2509
805;1100;10000;2009W150;2489
806;1100;10000;2009W151;2768
807;1100;10000;2009W152;2811
808;1100;10000;2009W153;1571
811;1100;10000;2010W101;2767
812;1100;10000;2010W102;2830
813;1100;10000;2010W103;2846
814;1100;10000;2010W104;2865
815;1100;10000;2010W105;2858
816;1100;10000;2010W106;2831
817;1100;10000;2010W107;2900
818;1100;10000;2010W108;2929
819;1100;10000;2010W109;2757
820;1100;10000;2010W110;2760
821;1100;10000;2010W111;2686
822;1100;10000;2010W112;2687
823;1100;10000;2010W113;2586
824;1100;10000;2010W114;2472
825;1100;10000;2010W115;2583
826;1100;10000;2010W116;2581
827;1100;10000;2010W117;2570
828;1100;10000;2010W118;2536
829;1100;10000;2010W119;2687
830;1100;10000;2010W120;2525
831;1100;10000;2010W121;2485
832;1100;10000;2010W122;2567
833;1100;10000;2010W123;2502
834;1100;10000;2010W124;2372
835;1100;10000;2010W125;2535
836;1100;10000;2010W126;2580
837;1100;10000;2010W127;2653
838;1100;10000;2010W128;2499
839;1100;10000;2010W129;2443
840;1100;10000;2010W130;2314
841;1100;10000;2010W131;2289
842;1100;10000;2010W132;2381
843;1100;10000;2010W133;2464
844;1100;10000;2010W134;2277
845;1100;10000;2010W135;2416
846;1100;10000;2010W136;2433
847;1100;10000;2010W137;2523
848;1100;10000;2010W138;2594
849;1100;10000;2010W139;2498
850;1100;10000;2010W140;2598
851;1100;10000;2010W141;2543
852;1100;10000;2010W142;2555
853;1100;10000;2010W143;2609
854;1100;10000;2010W144;2559
855;1100;10000;2010W145;2542
856;1100;10000;2010W146;2519
857;1100;10000;2010W147;2542
858;1100;10000;2010W148;2736
859;1100;10000;2010W149;2832
860;1100;10000;2010W150;2873
861;1100;10000;2010W151;2830
862;1100;10000;2010W152;2060
865;1100;10000;2011W101;2917
866;1100;10000;2011W102;2819
867;1100;10000;2011W103;2624
868;1100;10000;2011W104;2620
869;1100;10000;2011W105;2728
870;1100;10000;2011W106;2675
871;1100;10000;2011W107;2621
872;1100;10000;2011W108;2651
873;1100;10000;2011W109;2686
874;1100;10000;2011W110;2714
875;1100;10000;2011W111;2727
876;1100;10000;2011W112;2686
877;1100;10000;2011W113;2739
878;1100;10000;2011W114;2592
879;1100;10000;2011W115;2652
880;1100;10000;2011W116;2694
881;1100;10000;2011W117;2591
882;1100;10000;2011W118;2543
